date,exchange,year
2023-12-26,XMIL,2023
2024-01-01,XMIL,2024
2024-03-29,XMIL,2024
2024-04-01,XMIL,2024
2024-05-01,XMIL,2024
2024-08-15,XMIL,2024
2024-12-24,XMIL,2024
2024-12-25,XMIL,2024
2024-12-26,XMIL,2024
2024-12-31,XMIL,2024
2000-04-21,XPAR,2000
2000-04-24,XPAR,2000
2000-05-01,XPAR,2000
2000-06-12,XPAR,2000
2000-07-14,XPAR,2000
2000-12-25,XPAR,2000
2000-12-26,XPAR,2000
2001-01-01,XPAR,2001
2001-04-13,XPAR,2001
2001-04-16,XPAR,2001
2001-05-01,XPAR,2001
2001-06-04,XPAR,2001
2001-12-25,XPAR,2001
2001-12-26,XPAR,2001
2001-12-31,XPAR,2001
2002-01-01,XPAR,2002
2002-03-29,XPAR,2002
2002-04-01,XPAR,2002
2002-05-01,XPAR,2002
2002-12-25,XPAR,2002
2002-12-26,XPAR,2002
2003-01-01,XPAR,2003
2003-04-18,XPAR,2003
2003-04-21,XPAR,2003
2003-05-01,XPAR,2003
2003-12-25,XPAR,2003
2003-12-26,XPAR,2003
2004-01-01,XPAR,2004
2004-04-09,XPAR,2004
2004-04-12,XPAR,2004
2005-03-25,XPAR,2005
2005-03-28,XPAR,2005
2005-12-26,XPAR,2005
2006-04-14,XPAR,2006
2006-04-17,XPAR,2006
2006-05-01,XPAR,2006
2006-12-25,XPAR,2006
2006-12-26,XPAR,2006
2007-01-01,XPAR,2007
2007-04-06,XPAR,2007
2007-04-09,XPAR,2007
2007-05-01,XPAR,2007
2007-12-25,XPAR,2007
2007-12-26,XPAR,2007
2008-01-01,XPAR,2008
2008-03-21,XPAR,2008
2008-03-24,XPAR,2008
2008-05-01,XPAR,2008
2008-12-25,XPAR,2008
2008-12-26,XPAR,2008
2009-01-01,XPAR,2009
2009-04-10,XPAR,2009
2009-04-13,XPAR,2009
2009-05-01,XPAR,2009
2009-12-25,XPAR,2009
2010-01-01,XPAR,2010
2010-04-02,XPAR,2010
2010-04-05,XPAR,2010
2011-04-22,XPAR,2011
2011-04-25,XPAR,2011
2011-12-26,XPAR,2011
2012-04-06,XPAR,2012
2012-04-09,XPAR,2012
2012-05-01,XPAR,2012
2012-12-25,XPAR,2012
2012-12-26,XPAR,2012
2013-01-01,XPAR,2013
2013-03-29,XPAR,2013
2013-04-01,XPAR,2013
2013-05-01,XPAR,2013
2013-12-25,XPAR,2013
2013-12-26,XPAR,2013
2014-01-01,XPAR,2014
2014-04-18,XPAR,2014
2014-04-21,XPAR,2014
2014-05-01,XPAR,2014
2014-12-25,XPAR,2014
2014-12-26,XPAR,2014
2015-01-01,XPAR,2015
2015-04-03,XPAR,2015
2015-04-06,XPAR,2015
2015-05-01,XPAR,2015
2015-12-25,XPAR,2015
2016-01-01,XPAR,2016
2016-03-25,XPAR,2016
2016-03-28,XPAR,2016
2016-12-26,XPAR,2016
